Unnamed: 0,elbow,shoulder,hip,knee,elbow_std,shoulder_std,hip_std,knee_std
20,166.31,15.25,173.96,173.25,1.8516938191824999,0.14446452851828903,0.6045411483096772,0.5358917801197862
21,166.52,15.02,173.77,173.1,1.1380817193850914,0.16652327164697311,0.44153142583459926,0.46581112051981827
22,166.32,15.09,173.22,172.14,0.5337789804764093,0.13390294993020752,0.4847989273910405,0.6725325270943476
23,166.57,14.87,172.88,170.51,0.2721212964808204,0.1427585373979842,0.554508791634054,1.2926909916913303
24,166.89,14.58,172.87,169.96,0.23636835659283892,0.25351528553523367,0.5040337290295318,1.4964524716809087
25,168.18,14.21,172.2,169.58,0.746344424510863,0.36170429911740004,0.5726866507955063,1.5025711297638815
26,169.23,14.1,172.25,169.41,1.2314097612080621,0.4216040796766659,0.4424138334176806,1.101567065593351
27,170.18,14.22,172.75,169.05,1.5292318333067052,0.3208270562156612,0.3375648085913479,0.5578261377884657
28,171.51,14.33,173.08,168.01,1.7800196628123748,0.18240065789356816,0.3885228436003782,0.7424082434887407
29,173.53,14.52,173.78,166.57,2.079382119765103,0.1588395416765182,0.6525105363128971,1.2509116675449536
30,175.31,14.81,175.67,164.13,2.4754231961422186,0.278262466028043,1.331213731900107,2.1512043138670456
31,176.09,16.62,177.6,161.29,2.490618397105232,0.9871929902506466,2.0339198607613698,3.1292171544973213
32,176.92,18.62,178.83,159.39,2.1664302435109852,1.8304507641562011,2.44521369209314,3.5785360135117315
33,178.24,22.41,177.35,156.61,1.7640493190381774,3.2480501843413734,1.9584509184556855,3.904551190598033
34,176.39,27.59,176.36,149.64,1.090848293759983,5.091183555913109,1.2122994679533643,5.5210977169400595
35,175.56,33.69,175.47,143.76,1.021004407433716,6.937076473558591,1.2754881418500124,7.293495046958003
36,178.07,38.99,175.85,130.74,1.1322676362058095,8.249527259182805,1.3494887920986751,11.428419400774594
37,176.04,46.53,175.41,118.14,1.2198155598282416,9.45103803822629,0.8007621369669085,15.381157953808342
38,176.78,53.89,175.9,108.92,0.9522972225093751,10.372102969022256,0.38310572953137734,17.031975810222427
39,177.4,62.78,177.71,97.18,1.0104454463250745,11.595933770076488,0.9437266553403179,18.2108901484799
40,176.21,70.08,177.89,87.49,0.8439490505943392,12.407027444154393,1.1568578132164271,17.00945266609138
41,178.69,76.59,178.34,80.4,1.0732334322033994,12.081520185804445,1.3055075641297464,15.369215334557705
42,174.82,86.13,177.59,80.32,1.4316947998784848,12.401771244463436,0.9312518456357846,12.226672482732342
43,174.11,90.47,174.72,72.87,1.8642773398824235,11.345045173995564,1.442723119659488,9.160598779556091
44,175.71,90.91,171.15,69.77,1.7526037772409053,9.165777653860031,3.0297475142327737,6.984049684817874
45,178.73,93.07,170.04,65.63,2.173066957090615,6.564242530559006,3.720520124928681,6.5177657214727125
46,174.64,98.08,166.97,56.1,1.8411328034661385,4.351381389857662,4.13724908604725,8.964651136547632
47,175.49,103.29,169.17,50.96,1.793761411113272,5.455499977087295,2.856212527106206,9.256302177435911
48,176.5,116.53,173.56,42.38,1.5546478700976225,10.218824785659027,2.4345985295317947,11.05193060057856
49,159.77,118.12,172.14,25.61,7.566407998515482,11.122781576566137,2.5699085586842187,15.149195688220708
50,57.38,13.94,162.14,16.55,51.5395462727409,43.3636053621006,4.518144530667218,16.79180305982669
51,101.59,17.57,167.59,102.57,52.70836963898619,53.39655279135537,4.463681216215839,33.570450250182894
52,106.93,104.82,174.32,76.9,47.96868384685993,53.61110920322392,5.086521404653514,36.124084348257256
53,133.25,108.33,92.2,82.87,38.24499810432733,52.0963494882319,34.68296152291488,37.70734809025961
54,125.66,37.51,106.62,93.76,29.613798641849396,46.660122481622366,38.16630424864307,33.885422381903474
55,121.56,30.49,104.11,87.2,13.18655261999893,43.36253774861431,38.786923956405566,9.917804696605243
56,123.47,31.98,122.91,112.84,9.608149145386975,40.22406779528894,32.26252423478339,13.81612391374676
57,90.76,58.55,125.32,106.62,16.366369481348045,32.71085477330119,13.820798457396865,12.738324850623213
58,96.14,56.38,111.92,106.2,16.66632592985032,13.499128490387898,9.539110545537484,10.50169891017662
59,94.95,48.75,109.26,93.95,15.787236300252228,13.294410479596383,9.07825038209371,10.467775312835329
60,103.44,23.47,134.55,108.09,12.972149783285804,15.438096709115479,10.31952857450309,6.995044674625369
61,9.53,137.5,139.09,114.46,39.082821418111614,42.89794808612647,13.265962837275943,7.441003292567791
62,70.1,24.6,137.04,100.65,38.613227914796305,46.680348649083605,14.526822433002568,7.761446385822987
63,74.82,21.81,141.96,104.68,36.806882101041985,49.48225469802282,13.207567906317482,7.716173274363706
64,92.21,21.17,140.23,106.76,36.37093276230354,51.329999512955396,2.8731219953194893,5.0639974328592094
65,112.13,19.39,146.71,111.71,38.511788714626135,51.80219811938487,3.65541105759519,5.510732256243685
66,90.95,14.64,148.41,119.59,16.604194349621515,3.6874205076179645,4.669684143492957,7.286567779140234
67,47.12,21.87,145.73,126.64,24.237758353445223,3.04108204427331,3.40261957908754,9.157850730384531
68,89.84,38.36,152.81,132.07,23.82871691887759,8.99222052665533,4.555976294932883,10.39083394150846
69,69.93,42.72,148.61,137.93,24.554450309465366,12.37318188664506,2.7139786292435546,10.295907924996422
70,42.39,19.52,151.08,145.46,22.908780631015823,12.352271855816705,2.715588334043099,9.981331073559485
71,45.98,25.14,148.52,153.4,20.353770412383223,10.369335562127471,2.7067231110682473,10.618156619677656
72,53.78,39.53,143.32,150.57,19.580948138433097,10.115882561595967,3.5846994295185794,8.84252961544401
73,66.56,50.14,145.66,157.44,12.203989921333394,12.701854195352794,2.996985151780102,7.5519368376598806
74,71.18,49.92,144.41,154.36,12.574820873475973,14.071997015349364,3.1699716087041105,4.517663112717054
75,71.49,49.11,147.46,157.47,11.392221907951331,10.804506929980718,2.1347552552903744,2.9167396181360385
76,72.56,50.31,147.63,159.22,7.801331937560759,4.64701732297195,1.8809917596815249,3.413234536331251
77,80.67,60.65,143.71,157.61,5.118551552930254,4.842863822161574,1.7621662804598792,1.7637034898203439
78,81.09,58.12,146.4,159.16,5.032670265376449,5.353902315134394,1.7811709631559371,1.9726961245981312
79,77.89,56.1,147.35,159.35,4.49234905144336,4.986338335893529,1.6366581805587945,0.9367870622529977
