,elbow,shoulder,hip,knee
0,156.05,22.72,166.24,176.53
1,164.13,19.68,165.72,177.21
2,166.42,9.77,171.72,164.72
3,169.48,13.24,170.5,164.37
4,171.23,15.75,169.63,164.31
5,142.56,13.6,166.83,176.16
6,135.62,9.64,174.22,177.33
7,174.32,15.23,171.89,177.78
8,167.49,17.17,168.42,174.38
9,139.33,6.22,178.47,176.31
10,137.77,17.7,171.07,179.13
11,176.44,3.58,177.59,177.89
12,179.02,24.92,164.5,169.22
13,179.09,23.08,164.66,169.95
14,179.4,22.37,163.41,170.93
15,177.45,21.33,163.25,172.4
16,176.14,19.13,163.67,176.3
17,172.53,17.75,164.46,178.48
18,173.51,14.59,163.48,173.55
19,173.26,11.85,164.18,166.09
20,168.98,10.64,165.45,155.5
21,166.53,7.77,168.64,149.8
22,165.07,5.04,170.47,145.7
23,162.55,1.4,175.46,141.43
24,158.06,0.23,176.85,143.02
25,153.33,0.3,177.75,146.58
26,148.76,0.09,178.56,150.6
27,145.5,1.06,179.22,155.98
28,142.63,1.6,178.54,159.78
29,140.68,2.86,178.85,164.13
30,138.88,3.85,178.52,165.74
31,138.35,4.34,178.1,169.11
32,141.85,3.56,178.0,171.89
33,147.2,2.33,177.82,172.59
34,153.72,1.18,177.29,172.14
35,159.33,0.37,176.91,172.09
36,165.06,0.58,176.02,171.59
37,167.32,0.02,176.36,172.07
38,166.34,2.06,178.95,175.08
39,167.13,3.28,179.35,177.74
40,167.72,4.42,178.39,179.43
41,168.27,5.3,177.68,178.92
42,170.78,5.85,179.69,177.9
43,172.65,6.45,178.11,179.8
44,175.15,6.68,176.78,179.08
45,178.85,6.53,175.29,177.42
46,179.68,7.21,172.69,173.86
47,177.95,7.55,171.11,174.51
48,178.68,8.12,170.47,174.91
49,162.83,14.68,173.37,179.57
50,160.4,14.81,175.17,179.57
51,156.96,16.18,173.79,179.12
52,169.72,10.27,169.22,177.83
53,164.76,11.59,168.16,178.25
54,157.98,13.82,168.54,178.86
55,151.49,16.34,167.96,179.06
56,146.9,18.45,167.97,179.11
57,145.33,19.08,168.92,179.87
58,146.62,19.09,168.77,179.85
59,152.63,18.33,168.82,179.95
60,160.12,17.68,167.79,178.91
61,166.87,17.34,165.92,179.96
62,172.86,17.74,164.05,179.65
63,176.28,19.34,162.32,179.56
64,178.13,21.4,159.62,178.1
65,179.47,23.11,158.3,178.11
66,154.84,28.12,165.06,179.96
67,156.86,33.0,166.69,179.76
68,147.83,28.84,169.85,175.53
69,153.46,33.42,172.35,175.98
70,148.91,27.65,179.01,170.48
71,150.44,29.89,177.94,170.88
72,150.81,31.37,177.7,170.67
73,152.43,33.2,174.24,176.87
74,152.14,31.99,177.15,172.85
75,175.81,37.97,154.26,178.45
76,151.14,32.26,156.17,129.23
77,157.08,41.93,165.65,159.48
78,164.6,42.16,169.81,173.17
79,158.09,34.18,164.92,173.93
80,155.5,27.48,160.15,172.58
81,165.64,38.78,164.62,171.77
82,170.74,40.32,164.88,172.8
83,171.54,3.47,176.5,174.63
84,175.02,3.73,173.77,172.6
85,178.04,28.76,161.33,168.66
86,179.37,30.53,175.64,174.82
87,173.79,4.58,178.22,178.35
88,174.19,14.48,179.77,178.63
89,140.61,13.82,177.99,175.45
90,129.32,13.06,178.73,175.3
91,163.28,10.26,179.6,177.42
92,146.2,3.55,178.24,176.26
93,160.9,4.33,173.93,160.63
94,119.24,31.04,173.79,174.01
95,122.66,34.21,173.93,171.0
96,126.35,35.08,174.48,168.45
97,133.05,36.34,174.25,167.26
98,136.92,35.81,173.59,167.87
99,147.13,37.0,172.57,169.46
100,155.93,38.1,171.55,170.94
101,161.68,36.6,168.69,172.99
102,165.49,35.22,167.38,174.3
103,167.95,30.7,167.26,173.63
104,170.85,26.49,163.91,174.26
105,171.47,21.79,163.4,172.57
106,174.0,16.66,161.72,171.82
107,172.46,6.29,159.38,172.46
108,174.66,4.19,158.13,169.72
109,179.28,11.79,161.44,162.56
110,176.29,18.5,168.25,149.99
111,171.77,23.67,172.71,141.49
112,168.11,26.43,178.69,131.19
113,168.17,29.57,176.96,124.84
114,173.15,33.21,170.45,120.27
115,175.52,33.3,166.16,117.14
116,178.63,35.02,164.26,120.57
117,179.95,33.34,158.42,120.48
118,179.7,31.61,156.81,128.2
119,179.69,28.6,157.96,139.53
120,177.68,25.9,159.27,151.26
121,176.3,23.72,160.78,160.88
122,172.06,20.91,162.57,170.76
123,171.66,19.28,163.22,174.35
124,171.29,17.69,163.23,168.11
125,176.08,17.71,166.34,165.88
126,178.31,15.92,169.89,166.39
127,177.12,13.01,176.08,169.3
128,178.36,8.59,173.43,165.71
129,176.19,0.63,168.07,160.76
130,171.65,4.39,169.08,161.48
131,162.78,10.09,168.7,162.19
132,161.46,19.39,170.76,164.37
133,166.85,31.15,170.39,164.13
134,167.13,40.12,172.17,164.74
135,169.56,49.84,170.86,165.1
136,167.18,55.61,172.51,165.17
137,162.61,57.87,174.88,165.25
